src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
192.168.29.71,192.168.29.172,415.022337,3034,0,0,41,1640,0,0,0
192.168.29.172,224.0.0.22,407.036622,1806,0,0,21,1008,0,0,0
192.168.29.172,255.255.255.255,365.022727,1071,0,0,14,595,0,0,0
192.168.29.172,224.0.0.250,360.017827,651,0,0,7,413,0,0,0
192.168.29.172,224.0.0.251,345.204012,17468,0,0,34,16312,0,0,0
